symbol,entry_time,exit_time,entry_price,exit_price,pnl,result,reason,adx,rsi,slope,rvol,atr,hour
NVDA,2025-10-31 13:45:00+00:00,2025-10-31 14:00:00+00:00,206.915,204.8519035392403,-18.567868146837128,LOSS,SL,23.31969967453299,65.16487097158658,0.00389701914310106,1.9236535286786194,1.3254282282377243,13
GOOGL,2025-11-21 15:15:00+00:00,2025-11-24 14:30:00+00:00,296.68,303.1195321942316,38.637193165389704,WIN,TP,24.272517541910545,54.18461459176888,0.00166240025656739,1.3051568902188375,2.979905285534363,15
AMC,2025-11-04 14:30:00+00:00,2025-11-04 14:45:00+00:00,2.55,2.56,7.840000000000181,WIN,CROSS,20.760420622163856,53.69167839753563,0.0006206798060525384,2.141851973541464,0.012774447437609443,14
AMC,2025-11-12 14:45:00+00:00,2025-11-12 15:00:00+00:00,2.46,2.4990919128532743,31.781725149712,WIN,TP,23.488869351503602,67.4986868006702,0.002908940268605159,1.3029681857702242,0.010956071280662505,14
UBER,2025-11-11 18:45:00+00:00,2025-11-12 14:30:00+00:00,93.625,94.40727045687596,16.42767959439523,WIN,TP,21.57964945763707,58.77728100200871,0.000666942971292298,1.4618192112100776,0.294289227106527,18
NET,2025-10-31 13:45:00+00:00,2025-10-31 18:15:00+00:00,241.77,249.56170969779754,62.33367758238023,WIN,TP,21.484109427282583,73.59635936722059,0.01364997388359924,3.351262175416394,2.5776422981945655,13
PANW,2025-10-30 14:15:00+00:00,2025-10-30 19:00:00+00:00,220.06,219.02942093737607,-9.275211563615358,LOSS,SL,40.703426267764684,63.84563907458944,0.0022137743315196914,1.3234722402206713,0.9200853871580856,14
F,2025-11-06 19:45:00+00:00,2025-11-07 14:30:00+00:00,13.135,13.059906101540246,-11.414272565882541,LOSS,SL,24.34190786498979,61.378823043626234,0.0010957775458057277,1.6129938842965108,0.04251804432118469,19
ENPH,2025-11-06 20:30:00+00:00,2025-11-06 20:45:00+00:00,31.495,31.173376273463216,-20.262294771817466,LOSS,SL,21.313877987132013,57.78294346155585,0.0018175416238175555,1.7567812481121248,0.21244780366743415,20
SEDG,2025-11-20 15:15:00+00:00,2025-11-20 16:15:00+00:00,35.775,34.851380634061925,-50.79906512659402,LOSS,SL,23.87835772652539,63.260102541699226,0.008664683715667813,1.4147223135064082,0.5517635134595433,15
RUN,2025-11-05 15:15:00+00:00,2025-11-05 15:30:00+00:00,19.83,20.48037655620833,65.03765562083323,WIN,TP,40.934603323904476,66.66773313752525,0.006143118004284958,1.3638030841851787,0.19116081504914464,15
RUN,2025-11-19 20:45:00+00:00,2025-11-20 14:30:00+00:00,19.41,19.51,10.300000000000146,WIN,CROSS,21.50529724091951,56.33365648449513,0.0023306117050739834,2.323793688574064,0.20958204413995032,20
RUN,2025-11-20 14:45:00+00:00,2025-11-20 15:00:00+00:00,19.79,20.708500456605837,92.76854611718959,WIN,TP,20.18282369501235,61.832155374786524,0.0072075830369031785,1.3809045534352022,0.2843334972431206,14
JPM,2025-11-11 17:00:00+00:00,2025-11-11 19:00:00+00:00,317.38,316.42444852622924,-5.733308842624524,LOSS,SL,39.100834537040114,57.846880802770876,0.0004866057223634047,1.2423308978895649,0.7335839266358702,17
JPM,2025-11-12 14:45:00+00:00,2025-11-12 19:30:00+00:00,320.77,319.653435002596,-6.699389984423988,LOSS,SL,26.03851562328103,73.08562796178535,0.0029537544744290575,2.9865703056605883,0.9404487051313272,14
WFC,2025-11-12 14:45:00+00:00,2025-11-12 15:15:00+00:00,88.23,87.67128821514697,-12.291659266766686,LOSS,SL,21.159370493052446,77.39371353734485,0.004251344360047826,1.411347312326228,0.34689352990608635,14
WFC,2025-11-20 14:45:00+00:00,2025-11-20 16:00:00+00:00,85.66,85.02474720691605,-14.61081424093085,LOSS,SL,21.023342118661617,76.16132094678137,0.003820681797020567,1.3224488041245344,0.4039507490267536,14
SQQQ,2025-11-12 15:45:00+00:00,2025-11-12 19:00:00+00:00,13.675,13.65,-3.650000000000052,LOSS,CROSS,22.864656751489754,53.32712797777195,0.0007047118416639247,1.2817581862389087,0.08213802366563352,15
SQQQ,2025-11-18 20:30:00+00:00,2025-11-19 14:45:00+00:00,15.18,14.909432038077618,-35.44440301183198,LOSS,SL,24.836559161604935,53.29700857228586,0.0008111132273165765,1.5719591203264343,0.1731538423653512,20
